group,trial_id,condition,list,target_pronoun,target_id,target_image,target_name,target_file,target_x,distractor_pronoun,distractor_id,distractor_image,distractor_name,distractor_file,distractor_x,object_image,object_x,object_y2,object_y3,object_y4,sibling_image,top_left,bottom_left,top_right,bottom_right,correct_description
13,intro_list1_practice1,intro,1,he,14,masc2,alex,masc2_he_alex.png,35,they,12,masc1,dan,masc1_they_dan.png,65,sandwich.png,20,40,30,20,masc2_brother.png,masc2_brother.png,masc2_sister.png,masc1_brother.png,masc1_sister.png,Alex gave the sandwich to his brother
13,intro_list1_practice2,intro,1,she,8,fem3,jessica,fem3_she_jessica.png,65,he,14,masc2,alex,masc2_he_alex.png,35,popcorn.png,80,60,70,80,fem3_brother.png,masc2_sister.png,masc2_brother.png,fem3_sister.png,fem3_brother.png,Jessica gave the popcorn to her brother
13,intro_list1_practice3,intro,1,they,12,masc1,dan,masc1_they_dan.png,35,she,8,fem3,jessica,fem3_she_jessica.png,65,hotdog.png,20,60,70,80,masc1_brother.png,masc1_sister.png,masc1_brother.png,fem3_sister.png,fem3_brother.png,Dan gave the hotdog to their brother
14,intro_list2_practice1,intro,2,he,10,masc1,sam,masc1_he_sam.png,35,they,15,masc2,brian,masc2_they_brian.png,65,sandwich.png,20,60,70,80,masc1_sister.png,masc1_brother.png,masc1_sister.png,masc2_brother.png,masc2_sister.png,Sam gave the sandwich to his sister
14,intro_list2_practice2,intro,2,she,2,fem1,jessica,fem1_she_jessica.png,65,he,10,masc1,sam,masc1_he_sam.png,35,popcorn.png,80,60,70,80,fem1_brother.png,masc1_brother.png,masc1_sister.png,fem1_sister.png,fem1_brother.png,Jessica gave the popcorn to her brother
14,intro_list2_practice3,intro,2,they,15,masc2,brian,masc2_they_brian.png,35,she,2,fem1,jessica,fem1_she_jessica.png,65,hotdog.png,20,40,30,20,masc2_sister.png,masc2_sister.png,masc2_brother.png,fem1_brother.png,fem1_sister.png,Brian gave the hotdog to their sister
15,intro_list3_practice1,intro,3,he,11,masc1,brian,masc1_he_brian.png,35,they,18,masc3,sam,masc3_they_sam.png,65,sandwich.png,20,40,30,20,masc1_sister.png,masc1_sister.png,masc1_brother.png,masc3_brother.png,masc3_sister.png,Brian gave the sandwich to his sister
15,intro_list3_practice2,intro,3,she,7,fem3,emily,fem3_she_emily.png,65,he,11,masc1,brian,masc1_he_brian.png,35,popcorn.png,80,40,30,20,fem3_brother.png,masc1_sister.png,masc1_brother.png,fem3_brother.png,fem3_sister.png,Emily gave the popcorn to her brother
15,intro_list3_practice3,intro,3,they,18,masc3,sam,masc3_they_sam.png,35,she,7,fem3,emily,fem3_she_emily.png,65,hotdog.png,20,60,70,80,masc3_sister.png,masc3_brother.png,masc3_sister.png,fem3_brother.png,fem3_sister.png,Sam gave the hotdog to their sister
16,intro_list4_practice1,intro,4,he,13,masc2,dan,masc2_he_dan.png,35,they,3,fem1,emily,fem1_they_emily.png,65,sandwich.png,20,60,70,80,masc2_sister.png,masc2_brother.png,masc2_sister.png,fem1_brother.png,fem1_sister.png,Dan gave the sandwich to his sister
16,intro_list4_practice2,intro,4,she,5,fem2,sam,fem2_she_sam.png,65,he,13,masc2,dan,masc2_he_dan.png,35,popcorn.png,80,40,30,20,fem2_brother.png,masc2_brother.png,masc2_sister.png,fem2_brother.png,fem2_sister.png,Sam gave the popcorn to her brother
16,intro_list4_practice3,intro,4,they,3,fem1,emily,fem1_they_emily.png,35,she,5,fem2,sam,fem2_she_sam.png,65,hotdog.png,20,40,30,20,fem1_sister.png,fem1_sister.png,fem1_brother.png,fem2_brother.png,fem2_sister.png,Emily gave the hotdog to their sister
17,intro_list5_practice1,intro,5,he,16,masc3,dan,masc3_he_dan.png,35,they,6,fem2,jessica,fem2_they_jessica.png,65,sandwich.png,20,40,30,20,masc3_sister.png,masc3_sister.png,masc3_brother.png,fem2_brother.png,fem2_sister.png,Dan gave the sandwich to his sister
17,intro_list5_practice2,intro,5,she,1,fem1,alex,fem1_she_alex.png,65,he,16,masc3,dan,masc3_he_dan.png,35,popcorn.png,80,40,30,20,fem1_brother.png,masc3_brother.png,masc3_sister.png,fem1_brother.png,fem1_sister.png,Alex gave the popcorn to her brother
17,intro_list5_practice3,intro,5,they,6,fem2,jessica,fem2_they_jessica.png,35,she,1,fem1,alex,fem1_she_alex.png,65,hotdog.png,20,60,70,80,fem2_sister.png,fem2_brother.png,fem2_sister.png,fem1_sister.png,fem1_brother.png,Jessica gave the hotdog to their sister
18,intro_list6_practice1,intro,6,he,17,masc3,brian,masc3_he_brian.png,35,they,9,fem3,alex,fem3_they_alex.png,65,sandwich.png,20,60,70,80,masc3_brother.png,masc3_sister.png,masc3_brother.png,fem3_brother.png,fem3_sister.png,Brian gave the sandwich to his brother
